fname,rname,avail,maxLimit,price
Sundubu jjigae,Jack in the Box,100,100,8.0
Risotto,Kentucky Fried Chicken,100,100,9.0
Kimchi stew,Five Guys,50,50,12.0
Chicken rice,Tropical Smoothie Cafe,90,90,10.5
Natto,Chester's Grill,110,110,9.0
Hokkien prawn mee,Hot Dog on a Stick,30,30,3.0
Chocolate chip cookie,Dairy Queen Grill & Chill / Orange Julius,30,30,8.0
Murg makhani,Great Steak And Potato Co,20,20,7.5
Fish kidney curry,Pal's Sudden Service,80,80,9.5
Hot and sour soup,Kettle Restaurant,20,20,8.0
Macaroni and Cheese,Pete's Burgers,60,60,8.5
Fish kidney curry,Jolly's Drive-In,50,50,8.0
Spring rolls,Toppers Pizza,60,60,3.0
Guacamole,Home Town Buffet,60,60,10.5
Ossobuco,Luna Corner Pizza,60,60,10.0
Ossobuco,Pacific Rim,20,20,7.5
Banh khot,Denton's,30,30,11.0
Risotto,Omelette House,50,50,3.5
Chicken tikka masala,Culver's,40,40,10.0
Tempura,Quizno's +,60,60,11.5
Tacos al pastor,Waffle House,70,70,9.0
Chiles en nogada,Luna Corner Pizza,30,30,12.0
Pork bulgogi,Taco Casa,110,110,5.5
Hokkien prawn mee,Fitness 19,70,70,7.5
Chicken galangal soup,DQ Grill & Chill,50,50,7.0
Ayam goreng,Twisters,80,80,3.0
Bun bo hue,Mcalister's Deli,50,50,9.0
Dim sum,AJ's Hotdogs & Gyros,70,70,12.0
Bibimbap,Fosters Freeze,80,80,12.0
Sashimi,Northeastern State University,20,20,10.5
Tom yum goong,Grandy's,90,90,12.0
Elote,Round Table Pizza,30,30,5.0
Curry fish head,Panera Bread,30,30,7.0
Chocolate chip cookie,Blake's Lotaburger,70,70,10.5
Cha ca,Chickenow,30,30,5.5
Cantonese chicken soup,Kettle Restaurant,30,30,3.5
Chiles en nogada,Dairy Queen Grill & Chill,60,60,10.5
Chicken tikka masala,KFC / A&W,80,80,11.5
Pork bulgogi,Hardee's / Red Burrito,110,110,4.5
Spring rolls,Maui Tacos,90,90,10.5
Goi cuon,Round Table Pizza,80,80,12.0
Paratha,BLIMPIE,40,40,5.5
Tamales,Wendy Two Two Eight,80,80,8.5
Chole,Crown Fried Chicken,60,60,12.0
Mole,A&w Restaurant,90,90,3.0
Kimchi stew,Madison Street Subs,70,70,12.0
Curry fish head,Buds Chicken & Seafood,50,50,12.0
Kaya toast,Greek Oven Pizza and Wings,40,40,11.5
Apple pie,Jersey Jacks Eatery,80,80,7.0
Soto,BLIMPIE,90,90,12.0
Bak chor mee,Hardee's,30,30,7.5
Nem ran,Pick Up Stix,40,40,10.0
Vegetable fried rice,Dino's Gyros,70,70,4.5
Goi cuon,Geno's Fast Break,50,50,11.5
Banh xeo,Raising Cane's Chicken Fingers,30,30,4.5
Laksa,El Paragua Restaurant,40,40,10.5
Pho,DQ Grill & Chill,60,60,4.0
Pork bulgogi,Snack Shack,70,70,7.0
Tamales,Cafe Rio,80,80,11.0
Gado gado,The Chicken Place,60,60,11.0
Sashimi,SUBWAY®,30,30,7.5
Kimchi,Bravo Tacos,40,40,4.0
Bhajji,Blondies,110,110,9.5
Rujak cingur,KFC / A&W,20,20,3.0
Tamales,Rush's,50,50,9.0
Ayam penyet,Wendys,50,50,12.0
Kimchi,Costa Vida Fresh Mexican Grill,50,50,6.5
Cantonese chicken soup,Stripes Store #2276,20,20,3.5
Chilaquiles,Bravo Tacos,100,100,8.5
Tofu,Pete's Burgers,80,80,5.0
Elote,Saladworks,40,40,8.0
Tamales,Au Bon Pain,20,20,6.0
Tom yum goong,Wings And Philly,80,80,9.5
Ribollita,Siam To Go,70,70,6.0
Rujak cingur,Mc Donald's,80,80,8.0
Soba,Kam's Chop Suey,100,100,9.0
Hot and sour soup,Chick-fil-A,60,60,5.0
Cha ca,Bob Evans Restaurant,70,70,6.5
Sichuan pork,Taqueria,110,110,8.0
Risotto,Spangle's,30,30,8.0
Spicy stir fried octopus,Islands Restaurant,90,90,10.0
Rau muong,Mazatlan Mexican Restaurant,30,30,11.0
Tempura,Sonic Drive-In,80,80,11.0
Hot and sour soup,Jersey Jacks Eatery,60,60,8.0
Wanton mee,Chicago Union Station Food Court,100,100,11.5
Oyster omelette,Good Times Burgers & Frozen Custard,70,70,10.5
Tom yum goong,Fuku,40,40,9.5
Chicken tikka masala,White Manna Hamburgers,30,30,10.5
Hokkien prawn mee,Zip's Hamburgers And Fish,50,50,6.5
Murg makhani,Lime Ricky World,110,110,8.5
Spaghetti Aglio Olio,The Agora,40,40,5.5
Ribollita,Gabby's Burgers & Fries,70,70,3.5
Spaghetti Carbonara,Peking Wok,50,50,6.5
Enchiladas,McLaren's Pantry,20,20,7.0
Elote,Runza,50,50,4.0
Hash browns,Qdoba Mexican Grill,40,40,10.0
Isaan soup,Maui Tacos,70,70,6.5
Rujak cingur,South-A-Philly Steaks and Hoagies,80,80,8.0
Soto,Wu's Fine Chinese Cuisine,30,30,5.5
Donburi,Foster's Freeze,30,30,7.0
Cha ca,Rancher's Roast Beef Inc.,30,30,11.0
Sushi,Tom's Grill,80,80,7.0
Sushi,Subway Citgo of Quarryville,100,100,5.5
Sundubu jjigae,Quick,80,80,10.5
Sate,Nathan's Famous,50,50,8.5
Sichuan pork,Dairy Queen,70,70,11.5
Curry fish head,Cook Out,110,110,4.5
Doughnut,Chickenow,90,90,8.0
Spaghetti Bolognese,B Z Breakfast Burgers Beyond,20,20,7.5
Tofu,Jack's,100,100,11.5
Murg makhani,Arbys,60,60,4.5
Bun bo hue,D'angelo Grilled Sandwiches,30,30,6.5
Enchiladas,Custard Hut & Pizza,60,60,3.5
Steak,Bad Daddys Burger Bar,40,40,6.0
Elote,Sarku Japan,30,30,4.5
Wanton mee,Mcdonald's - Walmart,110,110,8.5
Elote,White Manna Hamburgers,100,100,9.5
Tacos al pastor,Cusinera,30,30,6.0
Nem ran,Zaxby's,20,20,3.5
Fried chicken,Tom & Jerry's,80,80,8.0
Chole,Sammy Carry-Out,50,50,11.5
Lasagna,Lukes on Harlem,90,90,6.0
Gogigui,Wendy Two Two Eight,20,20,8.0
Pork bulgogi,Portillo's,60,60,9.0
Fried carrot cake,DQ Grill & Chill / Orange Julius,80,80,10.0
Korma,Brixton's,80,80,4.0
Apple pie,Dairy Queen Grill & Chill / Orange Julius,90,90,8.0
Thai hanglay curry,Subway Guitars,80,80,5.5
Sate,Jack In The Box,110,110,10.0
Noodles,Fuku,70,70,3.5
Bak kut teh,Little Caesar's Pizza Smithfield,40,40,3.5
Soto,Tina's Carryout Restaurant,110,110,11.5
Sashimi,Boston Market,70,70,6.5
Kimchi,Mr. Hero,70,70,8.5
Goi cuon,Qdoba Mexican Grill,80,80,4.0
Sate,Stripes Store #2276,100,100,11.0
Hash browns,Hardees,80,80,4.5
Ga tan,Pizza One,30,30,9.0
Chicken galangal soup,Papa Gino's,90,90,5.0
Bak chor mee,Skyline Chili,110,110,8.0
Spaghetti Bolognese,The Break Away Sports Cafe,80,80,6.5
Spicy stir fried octopus,Penguin Point,90,90,7.0
Elote,Sonic Drive-In,110,110,3.5
Enchiladas,A&w Restaurant,90,90,8.0
Pozole,Yoshinoya,60,60,6.0
Ramen,Culvers,100,100,11.5
Macaroni and Cheese,Taco Casa,100,100,6.5
Bak chor mee,Bamboo Bistro,110,110,12.0
Banh xeo,Ll Hawaiian Barbecue,60,60,11.5
Gogigui,Mc Donalds,40,40,6.0
Pozole,King Grill,40,40,10.0
Steak,McDonald's,100,100,11.0
Bakso,Cook Out,100,100,10.0
Stir fried tofu with rice,Chick-fil-a Truett's Luau,20,20,3.0
Rawon,Jim Bob's Chicken Fingers,20,20,5.0
Chiles en nogada,Osgood's,110,110,10.5
Bottarga,Lenny's Sub Shop,60,60,12.0
Green curry chicken,Custard Hut & Pizza,100,100,11.5
Sichuan pork,Taco John's,100,100,4.0
Tempura,Cusinera,100,100,11.0
Bak kut teh,Tom's Grill,110,110,4.5
Bun bo hue,Popeyes,60,60,8.0
Paratha,Rafael's,60,60,11.5
Tom yum goong,Cody's Cafe,60,60,9.0
Steak,Farmer Boys,70,70,4.0
Enchiladas,Baja Fresh,80,80,5.5
Chilaquiles,Taqueria,50,50,4.5
Boiled vegetable soup,The Pita Pit,110,110,7.5
Korma,Pollo Tropical,110,110,5.5
Cha ca,World Wrapps,20,20,7.5
Sundubu jjigae,Yellow Cab Pizza Co.,70,70,4.5
Donburi,BGR - The Burger Joint,70,70,5.5
Sundubu jjigae,Carl's Jr. / Green Burrito,20,20,10.5
Spicy stir fried octopus,Hardee's / Red Burrito,20,20,4.5
Ga tan,Capriotti's Sandwich Shop,50,50,5.0
Noodles,Zaxby's,50,50,7.5
Sate,31st Avenue Gyro,60,60,3.5
Soto,Petro's Chili & Chips,20,20,8.5
Chicken galangal soup,Subway - Roland Park,100,100,10.0
Natto,Pizza Hut Wingstreet,90,90,3.0
Hokkien prawn mee,A&W All-American Foods,60,60,6.0
Polenta,Baja Fresh Mexican Grill,70,70,11.0
Pozole,Panda Express,20,20,11.0
Chiles en nogada,Richie's Restaurant,40,40,9.5
Nem ran,Exxon,80,80,10.5
Kimchi stew,Gianni's Pizza,90,90,3.5
Sashimi,Burgerville,70,70,3.0
Tempura,Subway - Roland Park,40,40,8.0
Samgyeopsal,Ny Chicken Fish,60,60,11.5
Risotto,Sonic Drive-in (trailer),110,110,8.0
Chicken galangal soup,Bills Place,100,100,11.0
Tom yum goong,South-A-Philly Steaks and Hoagies,50,50,5.0
Korma,The Pizza Pipe Line,20,20,6.0
Sate,Lenny's Sub Shop,30,30,5.0
Palak paneer,In-N-Out Burger,60,60,12.0
Chicken wings,Roly Poly,70,70,6.0
Bun bo hue,Wendys,100,100,12.0
Pizza,Luxor Food Court,20,20,8.5
Stir fried tofu with rice,Jim's Coney Island,30,30,8.5
Hokkien prawn mee,Raising Cane's Chicken Fingers,50,50,3.0
Rujak cingur,Soulfish Grill,50,50,4.5
Bhajji,Papa John's,40,40,3.0
Chicken wings,Pete's Burgers,20,20,10.5
Fish kidney curry,Vista Drive In,70,70,5.5
Ossobuco,Costa Vida,40,40,5.5
Spaghetti Carbonara,Quizno's +,40,40,12.0
Pork bulgogi,Jason's Deli,50,50,4.5
Pork bulgogi,Ziti's Italian Express,100,100,4.5
Yakitori,Omelette House,50,50,11.5
Fish kidney curry,Back Yard Burgers,100,100,11.0
Vegetable fried rice,Love's,110,110,11.0
Bak kut teh,Carl's Jr - Green Burrito,90,90,7.5
Mole,Dairy Queen Grill & Chill / Orange Julius,40,40,7.0
Guacamole,Samurai Sam's,20,20,10.0
Rau muong,Regal Cinemas Tikahtnu  16 IMAX & RPX,50,50,3.5
Chiles en nogada,Rally's Hamburgers,30,30,8.0
Cantonese chicken soup,Samurai Sam's,110,110,6.5
Tostadas,Gabby's Burgers & Fries,40,40,7.5
Ossobuco,Taco Del Mar,110,110,4.0
French fries,Red Robin Gourmet Burgers,80,80,10.0
Cantonese chicken soup,Popeye's Chicken & Biscuits,70,70,6.5
Green curry chicken,Checker's Hamburgers,100,100,8.0
Coconut milk curry,Mcdonald's - Walmart,40,40,7.0
Chicken wings,Good Times Burgers & Frozen Custard,40,40,8.5
Dim sum,Fred's Store,60,60,11.0
Donburi,Backyard Burgers,50,50,6.0
Thai hanglay curry,Pete's Burgers,90,90,6.0
Korma,Granny's Drive-In,90,90,6.5
Enchiladas,Taco Bueno,50,50,4.5
Ga tan,Bamboo Bistro,60,60,6.5
Chicken wings,Steak-out,30,30,10.5
Chocolate chip cookie,Blimpie,20,20,11.5
Isaan soup,Braum's,50,50,9.0
Pork bulgogi,Port Of Subs,90,90,9.5
Ayam penyet,Checker's,70,70,8.5
Gogigui,A&W/Long John Silvers,20,20,7.5
Chicken wings,King Grill,100,100,8.5
Gado gado,Yellow Cab Pizza Co.,80,80,8.0
Pho,Taco Bell/Pizza Hut Express,60,60,10.5
Chicken wings,Your Healthy Habit,20,20,10.5
Ramen,Tina's Carryout Restaurant,70,70,6.0
Sour soup,Tellers Tap Room & Kitchen,100,100,9.5
Guacamole,Qdoba Mexican Eats,80,80,3.0
Banh khot,Kennedy Fried Chicken & Pizza,60,60,7.0
Rawon,BGR - The Burger Joint,90,90,5.0
Stir fried tofu with rice,Subway Guitars,110,110,3.5
Thai hanglay curry,Gabby's Burgers & Fries,50,50,3.0
Soba,Checker's,50,50,8.0
Sundubu jjigae,Good Times Burgers & Frozen Custard,50,50,8.0
Mole,b.good,110,110,11.5
Ossobuco,A&w,70,70,6.0
Kaya toast,Cousins Subs,50,50,10.0
French fries,A&w Restaurant,40,40,12.0
Doughnut,B K,100,100,10.5
Chicken tikka masala,Home Town Buffet,110,110,6.0
Cheeseburger,The Agora,30,30,8.5
Hokkien prawn mee,Meatheads,70,70,8.0
Ayam penyet,Wu's Fine Chinese Cuisine,80,80,11.5
Sour soup,Omelette House,100,100,5.0
Polenta,Jersey Jacks Eatery,100,100,11.0
Bibimbap,Handy's Lunch,50,50,10.5
Soto,Fab Wings N Burgers,40,40,6.0
Chiles en nogada,Rally's Springfield,110,110,6.5
Spaghetti Aglio Olio,Lukes on Harlem,110,110,9.0
Fried carrot cake,Steak 'N Shake,20,20,5.0
Paratha,Bobby's Burger Palace,50,50,12.0
Dim sum,Mayfair Boardwalk Grill,90,90,5.5
Kimchi,China King,40,40,7.5
Nasi goreng,Travelcenters of America,20,20,3.5
Risotto,Boston Chowda Company,70,70,12.0
Kimchi stew,St Louis Original Hamburgers,80,80,9.5
Chole,Vista Drive In,90,90,7.5
Naan,The People Connection,60,60,4.0
Pork bulgogi,Papa Gino's,20,20,12.0
Tandoori chicken,Rancher's Roast Beef Inc.,20,20,6.0
Murg makhani,Tellers Tap Room & Kitchen,70,70,4.5
Natto,Kings Contrivance Jewelers,90,90,11.0
Ayam goreng,Costa Vida Fresh Mexican Grill,20,20,6.5
Tofu,Lee's Famous Recipe Chicken,70,70,7.5
Sushi,Lee's Famous Recipe Chicken,60,60,4.0
Ga tan,Popeyes,80,80,11.5
Banh xeo,Wingstreet,110,110,11.5
Palak paneer,KFC/Taco Bell,60,60,8.0
Cantonese chicken soup,Coop DeVille,70,70,10.5
Vegetable fried rice,Wingstreet,40,40,10.0
Boiled vegetable soup,Travelcenters of America,50,50,3.0
Chicken galangal soup,Charcoal Delights,60,60,6.5
Doughnut,Pacific Rim,60,60,9.0
Murg makhani,Goodcents Deli Fresh Subs,20,20,3.5
Apple pie,Fazoli's,110,110,6.5
Soba,A&w,60,60,7.0
Boiled vegetable soup,SUBWAY,100,100,6.0
Noodles,Hardee's,70,70,3.5
Nem ran,Bad Daddys Burger Bar,70,70,5.0
Ayam penyet,Dairy Queen Grill & Chill,100,100,6.0
Banh xeo,Cypress Best,50,50,11.5
Pizza,Zip's Hamburgers And Fish,70,70,3.5
Spicy stir fried octopus,Crispy Chicken & Seafood,70,70,3.5
Fried chicken,Nino's Pizza,90,90,5.0
Spaghetti Bolognese,Don & Millie's,30,30,6.0
Rujak cingur,Custard Hut & Pizza,110,110,4.5
Kimchi,Steak 'N Shake,90,90,10.5
Sashimi,Sonic Drive-In,90,90,11.5
Chicken with chestnuts,Nick's Burgers,70,70,8.0
Chocolate chip cookie,McDonald's of Mililani Mauka,50,50,4.0
Naan,Einstein Bros Bagels,110,110,8.0
Bottarga,Kentucky Fried Chicken,20,20,12.0
Chicken tikka masala,Panda,40,40,9.0
Beef rendang,Papa Johns,70,70,7.5
Sundubu jjigae,Tom & Jerry's,80,80,3.5
Ribollita,Long John Silvers,80,80,9.5
Yakitori,Popeyes Chicken & Biscuits,30,30,7.0
Cheeseburger,Hometown Buffet,90,90,7.0
Curry fish head,Cypress Best,30,30,9.0
Kaya toast,Tommy's Sub Shop,80,80,3.0
Tostadas,A&W/Long John Silvers,100,100,3.5
Wanton mee,Noodles & Company,110,110,7.0
Chicken rice,Aw Restaurant,20,20,7.0
Pozole,Rahway Chicken & Burger Inc,60,60,8.0
Kaya toast,Tubby's Grilled Submarines,40,40,11.0
Chicken tikka masala,Wetzel's Pretzels,20,20,5.0
Enchiladas,Blake's Lotaburger,80,80,6.5
Bakso,BGR - The Burger Joint,20,20,4.0
Hot and sour soup,Cousins Subs of Green Bay - Oneida St. & Ramada Way,80,80,6.0
Coconut milk curry,Raising Cane's,70,70,6.0
Bak chor mee,Travelcenters of America,70,70,10.0
Vegetable fried rice,Peking Wok,80,80,11.5
Ayam goreng,Travelcenters of America,70,70,4.0
Bak kut teh,Hungry Andy's,100,100,4.5
Soto,Famous Dave's,50,50,7.5
Goi cuon,Ziti's Italian Express,40,40,7.5
Sichuan pork,Froots,60,60,4.0
Risotto,Elevation Burger,30,30,8.5
Tamales,Love's,60,60,12.0
Isaan soup,Exxon,110,110,7.0
Gado gado,In-A-Tub,60,60,12.0
Chicken tikka masala,Shoney's on the Go,40,40,10.5
Mole,Thunder Ridge Ampride,30,30,12.0
Bibimbap,Geno's Fast Break,30,30,7.0
Ayam penyet,Mickey's Gyros & Ribs,70,70,12.0
Chicken with chestnuts,Lukes on Harlem,100,100,9.0
Soto,Burger Time,90,90,9.0
Laksa,Bamboo Bistro,80,80,9.0
Banh xeo,Starbucks,20,20,10.5
Tom yum goong,Papa Johns Pizza,30,30,12.0
Thai hanglay curry,Taco Bueno,110,110,6.5
Kaya toast,Jamba Juice,60,60,5.5
Cheeseburger,Granny's Drive-In,50,50,5.0
Ramyeon,Sensenig Poultry LLC,40,40,6.0
Rawon,Good Times Burgers & Frozen Custard,110,110,3.0
Hokkien prawn mee,Penn Station East Coast Subs,60,60,10.0
Tostadas,Spangle's,30,30,4.5
Bakso,Burger Time,40,40,3.0
Spaghetti Carbonara,Subway - Roland Park,80,80,11.5
Spring rolls,Breadeaux Pizza,60,60,9.0
Spring rolls,Pizza Factory,70,70,11.5
Hokkien prawn mee,Portillo's,20,20,10.0
Kaya toast,Jack in the Box,60,60,4.5
Tom yum goong,Popeyes,80,80,3.0
Sour soup,Cinnabon,30,30,6.0
Boiled vegetable soup,Dq Grill & Chill,80,80,3.0
Tamales,Exxon,70,70,8.0
Sushi,Papa Johns Pizza,90,90,7.0
Wanton mee,Maui Tacos,30,30,3.5
Rau muong,Blake's Lotaburger,80,80,6.5
Fish stew,Grandy's,50,50,10.0
Spaghetti Carbonara,Sonic Drive-In,100,100,10.0
Tofu,Famous Dave's,40,40,8.0
Fish stew,Maui Tacos,50,50,7.0
Bakso,Crown Fried Chicken,110,110,11.5
Boiled vegetable soup,Pop-A-Nugget,80,80,8.0
Tamales,Fab Wings N Burgers,110,110,8.5
Vegetable fried rice,Mcdonald's,70,70,3.0
Beef rendang,Ball State Lafollette Dining,100,100,5.5
Chicken wings,Sonic Drive-In,20,20,10.5
Murg makhani,Foster's Freeze,70,70,4.5
Ramen,Bb&t,50,50,6.5
Boiled vegetable soup,Nino's Pizza,50,50,8.0
Coconut milk curry,Old Country Buffet,80,80,11.0
Chicken wings,Garden Catering,30,30,3.5
Ribollita,A&W All-American Food,110,110,4.0
Spicy stir fried octopus,Elevation Burger,80,80,9.0
Soto,Tellers Tap Room & Kitchen,40,40,6.5
Fish stew,Costa Vida,100,100,5.5
Noodles,Costa Vida Fresh Mexican Grill,40,40,9.0
Szechwan chilli chicken,Rocky's,100,100,6.5
Elote,Rocky's,20,20,4.5
Gado gado,Pizza Primetime,40,40,6.5
Doughnut,Shot Tower Inn,50,50,3.0
Tempura,Popeyes Chicken and Biscuits,20,20,5.0
Spring rolls,Fresh City,110,110,7.5
Bhajji,Ny Chicken Fish,80,80,9.0
Bibimbap,Chicken House,100,100,7.0
Sashimi,Seaside Eatery,110,110,8.5
Kimchi stew,Buds Chicken & Seafood,90,90,6.5
Chocolate chip cookie,China Buddha Inn II,80,80,6.0
Curry fish head,Garden Catering,40,40,12.0
Fried carrot cake,Crispy Chicken & Seafood,90,90,9.5
Papdi chaat,Golden Chick,30,30,9.0
Samgyeopsal,Ryan's,30,30,7.5
Ga tan,Italian Pizzeria Restaurant,40,40,10.0
Ramen,White Castle,40,40,7.5
Korma,Pollo Campero,40,40,6.5
Ayam penyet,Frugal's,100,100,5.0
Enchiladas,Red Robin Gourmet Burgers,70,70,8.0
Bak chor mee,Great Steak And Potato Co,20,20,10.5
Tofu,Steak 'n Shake,20,20,11.0
Beef rendang,Bobby's Burger Palace,20,20,9.5
Chilaquiles,Kennedy Fried Chicken & Pizza,80,80,6.0
Samgyeopsal,b.good,80,80,6.0
Ayam goreng,Kum Go,80,80,7.5
Banh khot,Papa John's Pizza,80,80,10.5
Steak,Chick-fil-a,60,60,4.5
Noodles,Zip's Hamburgers And Fish,110,110,4.5
Sundubu jjigae,Kentucky Fried Chicken,80,80,7.0
Boiled vegetable soup,Kentucky Fried Chicken,40,40,6.5
Cantonese chicken soup,A&W,30,30,12.0
Szechwan chilli chicken,Jamba Juice,50,50,7.5
Curry fish head,Bamboo Bistro,60,60,9.5
Korma,El Paragua Restaurant,110,110,11.5
Murg makhani,Jack in the Box,70,70,4.5
Pork bulgogi,Mayfair Boardwalk Grill,110,110,6.0
Laksa,Wings N' More Wings,50,50,9.0
Bun bo hue,Roy Rogers,60,60,11.0
Chocolate chip cookie,Brixton's,80,80,6.5
Nem ran,Quizno's +,90,90,6.5
Stir fried tofu with rice,Quizno's +,30,30,4.0
Hokkien prawn mee,Char-Grill,20,20,11.5
Sate,City Bites,60,60,8.5
Tostadas,Kennedy Fried Chicken & Pizza,50,50,3.0
Chilaquiles,Maria's Fry Bread & Mexican Food,50,50,4.5
Risotto,D'angelo Grilled Sandwiches,30,30,11.5
Chilaquiles,Fab Wings N Burgers,50,50,6.0
Fish stew,Pollo Tropical,110,110,3.5
Pizza,Little Caesars Pizza,40,40,11.0
Ramyeon,Taco Delight,110,110,11.5
Hot and sour soup,ShopRite,60,60,5.5
Fish kidney curry,Mazatlan Mexican Restaurant,20,20,10.5
Hash browns,Popeye's Chicken & Biscuits,20,20,3.5
Cheeseburger,Port Of Subs,60,60,10.0
Nasi goreng,Starbucks,50,50,10.0
Cao lau,Rally's,40,40,9.0
Bottarga,Subway (johnson) @ Jonesboro,80,80,10.0
Dim sum,Chicken Express,50,50,6.5
Beef soup,Rally's,40,40,11.5
Sushi,The Break Away Sports Cafe,70,70,11.5
Curry fish head,Culver's,30,30,7.0
Naan,Carl's / Green Burrito,20,20,7.5
Thai hanglay curry,Aw Restaurant,40,40,5.5
Doughnut,Cypress Best,80,80,3.5
Spaghetti Bolognese,Shloma Inc,40,40,7.0
Tostadas,Stripes Store #2276,20,20,8.0
Pizza,White Manna Hamburgers,40,40,3.5
Murg makhani,Kings Contrivance Jewelers,30,30,10.0
Cheeseburger,Petro's Chili & Chips,100,100,11.5
Thai hanglay curry,Cousins Subs,70,70,3.5
Polenta,Long John Silvers / A&W,110,110,5.5
Chocolate chip cookie,Sammy Carry-Out,110,110,10.5
Cao lau,The People Connection,40,40,7.0
Enchiladas,A&W All-American Foods,100,100,4.5
Kimchi stew,Teddy's Bigger Burgers,70,70,10.0
Chiles en nogada,Sensenig Poultry LLC,40,40,11.5
Ramen,Yellow Cab Pizza Co.,110,110,9.5
Fish stew,Sonic Drive In,110,110,3.0
Pozole,Bb&t,20,20,4.5
Paratha,Popeye's Chicken & Biscuits,80,80,11.5
Tandoori chicken,Sonic,40,40,12.0
Sundubu jjigae,Great Steak And Potato Co,90,90,3.0
Sour soup,Lime Ricky World,70,70,10.5
Kaya toast,Slim Chickens,50,50,4.0
Bun bo hue,ShopRite,20,20,3.5
Spring rolls,Meatheads,110,110,8.0
Boiled vegetable soup,Wendy Two Two Eight,50,50,9.5
Banh xeo,Sonic Drive in,80,80,11.5
Thai hanglay curry,Tasty Carryout,50,50,9.0
Tempura,Port of Subs,30,30,4.0
Hot and sour soup,Dairy Isle,50,50,4.5
Soba,Exxon,80,80,6.5
Vegetable fried rice,Foster's Freeze,70,70,11.5
Fried carrot cake,Mr Char-Burger,40,40,5.0
Papdi chaat,Sonic,100,100,9.0
Hash browns,Taco Time,60,60,7.5
Tostadas,Quiznos Sub,100,100,4.0
Ga tan,Crystal Restaurant,40,40,3.5
Sour soup,Little Caesars Pizza,100,100,5.0
Bottarga,Noodles & Company,80,80,11.0
Goi cuon,Kasa's Pizza,110,110,12.0
Kaya toast,Zaxby's,70,70,10.0
Cao lau,Buds Chicken & Seafood,80,80,7.5
Apple pie,Popeye's,20,20,5.0
Ribollita,Toppers Pizza,60,60,7.0
Noodles,Rancher's Roast Beef Inc.,40,40,4.0
Steak,Kerby's Koney Island,20,20,7.0
Kaya toast,Cook Out,90,90,11.0
Macaroni and Cheese,Good Times Burgers & Frozen Custard,80,80,7.5
Rawon,Tudor's Biscuit World,90,90,11.5
Kimchi,Pei Wei,80,80,11.0
Tamales,Wingstop,30,30,11.5
Fried carrot cake,China King,110,110,5.0
Sate,Checkers Burgers and Fries,30,30,7.0
Hash browns,Amigos/Kings Classic,70,70,11.5
Korma,Cinnabon,110,110,3.0
Yakitori,China King Restaurant,50,50,3.0
Sundubu jjigae,Strongwater Spirits & Botanicals,70,70,5.5
Goi cuon,Qdoba Mexican Eats,40,40,3.5
Cantonese chicken soup,Maui Tacos,30,30,10.0
Wanton mee,Stripes Store #2276,60,60,7.0
Sundubu jjigae,Aw Restaurant,70,70,7.0
Bottarga,Pizza Hut Wingstreet,20,20,5.0
Lasagna,Cody's Cafe,90,90,10.0
French fries,Meatheads,60,60,4.5
Sundubu jjigae,Popeyes Chicken and Biscuits,40,40,10.0
Steak,Kum & Go,80,80,7.5
Pozole,KFC - Kentucky Fried Chicken,40,40,7.5
Yakitori,Carls Jr. / Green Burrito,60,60,10.0
Doughnut,A & W Family Restaurant,20,20,7.5
Vegetable fried rice,Cherry Hill Drive In Ice Cream,80,80,10.0
Tostadas,Charkies,90,90,4.0
Tom yum goong,SONIC Drive In,100,100,11.5
Pork bulgogi,Crystal Restaurant,20,20,12.0
Ramyeon,Pick Up Stix,80,80,4.0
Green curry chicken,Taco Delight,110,110,8.5
Chiles en nogada,name,90,90,5.0
Sashimi,QDOBA Mexican Eats,20,20,5.5
Beef rendang,Blondies,80,80,5.5
Chicken with chestnuts,Farmer Boys,50,50,8.5
Soto,Royal Buffet,90,90,4.5
Pork bulgogi,Papa John’s Pizza,50,50,3.5
Pork bulgogi,Greek Oven Pizza and Wings,20,20,11.0
Nem ran,Roy Rogers,30,30,3.5
Cantonese chicken soup,Boston Market,30,30,12.0
Tostadas,Exxon,30,30,6.0
Fish stew,Arby's,90,90,6.5
Chocolate chip cookie,Qdoba Mexican Grill,60,60,8.5
Ga tan,Snack Shack,110,110,11.0
Hot and sour soup,Kim Lee Fast Food,60,60,4.5
Pozole,Lime Ricky World,60,60,4.0
Cheeseburger,Your Healthy Habit,90,90,4.5
Sushi,Pop-A-Nugget,70,70,6.0
Sour soup,Original Tracks,80,80,10.0
Palak paneer,Chick-Fil-A,100,100,10.5
Ossobuco,Pizza Barn,80,80,3.5
Pizza,Shepard's Drive-In,20,20,11.5
Bun bo hue,Wings N' More Wings,110,110,12.0
Noodles,SONIC Drive-In,30,30,11.0
Hot and sour soup,Sconecutter,90,90,5.0
Papdi chaat,A&w Restaurant,60,60,7.5
Fish stew,Convergence Zone,40,40,11.0
Risotto,Popeyes,100,100,8.0
Nem ran,Tom's Grill,30,30,3.5
Green curry chicken,name,70,70,4.5
Sundubu jjigae,Popeyes,50,50,4.0
Gogigui,Charlie Browns,50,50,9.0
Vegetable fried rice,QDOBA Mexican Eats,90,90,7.5
Tempura,Fallguys Burger Company,40,40,5.0
Bhajji,Goodcents Deli Fresh Subs,90,90,9.5
Stir fried tofu with rice,Wingstop,60,60,11.0
Korma,Burgerville,80,80,9.0
Fried carrot cake,Cook-Out,80,80,3.5
